"","zip_code","CountyFIPSCode","count","experience","spec_count","polulation","unemployment_rate","STATE","total_income","averge_income","contract_id","tier_label","mnthly_prm","ann_ddctbl","copay_max","coin_max","Summary_Score","Star_Rating_Current"
"36561",77586,48201,2361,22.7888405426158,67,18802,2.9,"TX",1076102,57.2333794277205,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36562",77586,48201,2361,22.7888405426158,67,18802,2.9,"TX",1076102,57.2333794277205,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36563",77587,48201,2361,22.7888405426158,67,14821,8.91,"TX",227774,15.3683287227582,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36564",77587,48201,2361,22.7888405426158,67,14821,8.91,"TX",227774,15.3683287227582,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36566",77590,48167,126,20.8730769230769,25,30590,7.73,"TX",573653,18.7529584831644,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36567",77590,48167,126,20.8730769230769,25,30590,7.73,"TX",573653,18.7529584831644,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36568",77591,48167,126,20.8730769230769,25,9964,8.06,"TX",259124,26.0060216780409,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36569",77591,48167,126,20.8730769230769,25,9964,8.06,"TX",259124,26.0060216780409,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36573",77598,48201,2361,22.7888405426158,67,19650,5.19,"TX",497589,25.3225954198473,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36574",77598,48201,2361,22.7888405426158,67,19650,5.19,"TX",497589,25.3225954198473,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36582",77619,48245,214,20.6452830188679,42,16498,5.98,"TX",375598,22.7662746999636,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36583",77619,48245,214,20.6452830188679,42,16498,5.98,"TX",375598,22.7662746999636,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36584",77622,48071,104,24.958904109589,32,1326,2.75,"TX",45442,34.2699849170437,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36585",77622,48071,104,24.958904109589,32,1326,2.75,"TX",45442,34.2699849170437,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36586",77622,48245,214,20.6452830188679,42,1326,2.75,"TX",45442,34.2699849170437,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36587",77622,48245,214,20.6452830188679,42,1326,2.75,"TX",45442,34.2699849170437,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36592",77627,48245,214,20.6452830188679,42,21839,4.8,"TX",691897,31.6817161957965,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36593",77627,48245,214,20.6452830188679,42,21839,4.8,"TX",691897,31.6817161957965,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36599",77640,48245,214,20.6452830188679,42,20008,13.14,"TX",256459,12.8178228708517,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36600",77640,48245,214,20.6452830188679,42,20008,13.14,"TX",256459,12.8178228708517,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36603",77642,48245,214,20.6452830188679,42,36958,13.41,"TX",586498,15.8693111099085,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36604",77642,48245,214,20.6452830188679,42,36958,13.41,"TX",586498,15.8693111099085,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36609",77651,48245,214,20.6452830188679,42,13594,3.58,"TX",419767,30.8788436074739,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36610",77651,48245,214,20.6452830188679,42,13594,3.58,"TX",419767,30.8788436074739,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36611",77655,48245,214,20.6452830188679,42,661,8,"TX",7735,11.7019667170953,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36612",77655,48245,214,20.6452830188679,42,661,8,"TX",7735,11.7019667170953,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36619",77665,48071,104,24.958904109589,32,6667,7.02,"TX",164321,24.6469176541173,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36620",77665,48071,104,24.958904109589,32,6667,7.02,"TX",164321,24.6469176541173,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36621",77665,48245,214,20.6452830188679,42,6667,7.02,"TX",164321,24.6469176541173,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36622",77665,48245,214,20.6452830188679,42,6667,7.02,"TX",164321,24.6469176541173,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36623",77701,48245,214,20.6452830188679,42,16439,11.61,"TX",161739,9.83873714946165,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36624",77701,48245,214,20.6452830188679,42,16439,11.61,"TX",161739,9.83873714946165,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36625",77702,48245,214,20.6452830188679,42,3014,2.27,"TX",74147,24.6008626410086,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36626",77702,48245,214,20.6452830188679,42,3014,2.27,"TX",74147,24.6008626410086,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36627",77703,48245,214,20.6452830188679,42,15851,12.95,"TX",143941,9.08087817803293,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36628",77703,48245,214,20.6452830188679,42,15851,12.95,"TX",143941,9.08087817803293,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36631",77705,48245,214,20.6452830188679,42,39932,9.8,"TX",487730,12.2140138235,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36632",77705,48245,214,20.6452830188679,42,39932,9.8,"TX",487730,12.2140138235,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36633",77706,48245,214,20.6452830188679,42,26359,5,"TX",1272888,48.2904510793277,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36634",77706,48245,214,20.6452830188679,42,26359,5,"TX",1272888,48.2904510793277,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36635",77707,48245,214,20.6452830188679,42,16301,5.5,"TX",462295,28.3599165695356,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36636",77707,48245,214,20.6452830188679,42,16301,5.5,"TX",462295,28.3599165695356,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36637",77708,48245,214,20.6452830188679,42,11017,5.49,"TX",218790,19.8593083416538,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
"36638",77708,48245,214,20.6452830188679,42,11017,5.49,"TX",218790,19.8593083416538,"H1264",5,0,160,90,33,"Overall Star Rating",3
"36643",77713,48245,214,20.6452830188679,42,9439,4.28,"TX",416887,44.1664371225765,"H5817",6,0,35.5555555555556,90,33,"Overall Star Rating",4
