"","zipcode","num of physicians","avg graduation year","avg group member"
"244","01606",49,2000,0
"245","01607",2,1991,0
"246","01612",1,1981,0
"247","01721",12,1998,0
"248","01730",28,1992,0
"249","01731",3,2001,3
"250","01740",10,1990,0
"251","01741",5,1981,0
"252","01745",1,1980,1
"253","01746",20,1991,0
"254","01747",10,1988,0
"255","01748",34,1994,0
"256","01749",18,1988,0
"257","01756",5,1987,0
"258","01770",8,1994,0
"259","01773",12,1982,0
"260","01775",4,1987,0
"261","01776",28,1983,0
"262","01778",33,1986,0
"263","01801",176,1996,0
"264","01821",58,1995,0
"265","01826",49,1995,0
"266","01832",9,1994,0
"267","01834",14,1991,0
"268","01835",23,1996,0
"269","01850",2,1984,36.5
"270","01851",10,1985,0
"271","01860",4,1991,0
"272","01862",19,1999,0
"273","01864",121,1994,0
"274","01867",84,1991,0
"275","01876",123,1995,0
"276","01879",8,1992,0
"277","01887",57,1996,0
"278","01902",18,1988,0
"279","01905",9,1991,0
"280","01906",34,1995,0
"281","01907",57,1991,0
"282","01913",156,1996,0
"283","01921",8,1993,0
"284","01922",2,1987,0
"285","01929",1,1995,1
"286","01936",1,2008,0
"287","01938",24,1985,0
"288","01940",10,1986,0
"289","01944",27,1998,0
"290","01945",43,1987,0
"291","01949",24,1995,0
"292","01951",7,1989,0
"293","01952",18,1994,0
"294","01966",9,1983,0
"295","01969",7,1992,0
"296","01982",35,1993,0
"297","01983",19,1989,0
"298","01984",12,1997,0
"299","02006",1,1986,0
"300","02019",50,1995,0
"301","02021",70,1992,0
"302","02025",19,1987,0
"303","02030",4,1981,0
"304","02032",7,1995,0
"305","02035",219,1995,0
"306","02038",58,1994,0
"307","02043",154,1989,0
"308","02045",9,1994,0
"309","02048",32,1994,0
"310","02052",27,1995,0
"311","02053",26,1990,0
"312","02054",9,1988,0
"313","02056",21,1987,0
"314","02059",1,1962,0
"315","02066",31,1990,0
"316","02067",196,1993,0
"317","02069",2,1990,0
"318","02081",54,1990,0
"319","02092",2,1990,2
"320","02108",16,1990,0
"321","02109",54,2000,0
"322","02110",98,2005,0
"323","02113",19,1992,0
"324","02119",44,1996,0
"325","02121",2,2003,2
"326","02122",112,1999,0
"327","02124",94,1994,0
"328","02125",21,2000,28
"329","02126",9,1992,3
"330","02129",6,1990,0
"331","02131",32,1994,0
"332","02132",26,1992,0
"333","02134",11,2002,0
"334","02136",38,1997,0
"335","02141",10,1996,0
"336","02142",96,1990,0
"337","02143",53,1998,0
"338","02144",98,1993,0
"339","02150",44,1997,0
"340","02151",35,1995,0
"341","02154",2,1980,0
"342","02159",1,1971,0
"343","02160",1,1989,0
"344","02162",4,1980,0
"345","02165",2,1985,0
"346","02170",1,1971,0
"347","02171",36,1996,0
"348","02178",2,1974,0
"349","02181",1,1962,1
"350","02184",257,2001,0
"351","02187",3,1996,0
"352","02188",46,1995,0
"353","02191",2,1988,0
"354","02192",2,1981,0
"355","02193",1,1959,0
"356","02210",5,2005,4.8
"357","02216",1,1981,0
"358","02322",3,1996,0
"359","02324",7,1989,0
"360","02330",2,1992,0
"361","02332",43,1988,0
"362","02333",32,2001,0
"363","02334",1,2012,43
"364","02338",4,1993,19.5
"365","02339",47,1989,0
"366","02341",11,1996,0
"367","02343",11,1993,0
"368","02347",14,1991,0
"369","02351",16,1992,0
"370","02356",114,1993,0
"371","02359",77,1993,0
"372","02364",49,1995,0
"373","02367",1,1975,0
"374","02368",52,1991,0
"375","02370",44,1987,0
"376","02375",20,1989,0
"377","02379",10,1982,0
"378","02382",27,1993,0
"379","02401",33,1989,0
"380","02402",1,1965,0
"381","02431",1,1972,0
"382","02451",83,1997,0
"383","02452",35,1998,0
"384","02458",48,1991,0
"385","02459",129,1983,0
"386","02460",25,1983,0
"387","02464",12,1993,0
"388","02465",30,1980,0
"389","02466",11,1986,0
"390","02468",16,1976,0
"391","02470",1,1983,0
"392","02472",82,1988,0
"393","02474",43,1989,0
"394","02476",205,1992,0
"395","02478",204,1990,0
"396","02482",64,1989,0
"397","02493",34,1986,0
"398","02494",72,1995,0
"399","02532",40,1995,0
"400","02534",1,1976,0
"401","02538",3,1993,0
"402","02539",1,1950,0
"403","02556",12,1985,0
"404","02557",46,1990,0
"405","02559",6,1987,0
"406","02561",2,1980,0
"407","02562",8,1992,0
"408","02571",38,1990,0
"409","02575",3,1994,0
"410","02576",5,1995,1.8
"411","02630",8,1979,0
"412","02631",37,1989,0
"413","02632",12,1990,0
"414","02633",11,1987,0
"415","02635",4,1979,0
"416","02638",6,1982,0
"417","02639",2,1984,0
"418","02641",5,1988,0
"419","02642",6,1982,0
"420","02644",2,2006,2
"421","02645",16,1991,0
"422","02646",4,1988,0
"423","02648",10,1992,0
"424","02649",128,1996,0
"425","02650",2,1993,0
"426","02652",1,1979,0
"427","02653",39,1988,0
"428","02655",8,1994,0
"429","02657",26,1991,0
"430","02659",1,1997,0
"431","02664",37,1997,0
"432","02667",4,2002,0
"433","02668",12,1987,0
"434","02671",3,1975,0
"435","02673",18,1997,0
"436","02675",28,1989,0
"437","02717",1,1995,1
"438","02719",23,1990,0
"439","02723",36,1997,0
"440","02724",20,1991,0
"441","02725",2,1987,0
"442","02738",16,2001,0
"443","02739",8,1984,0
"444","02743",2,2004,2
"445","02744",4,2000,3.5
"446","02745",45,1988,0
"447","02746",5,1993,5.4
"448","02748",2,1977,0
"449","02760",30,1999,0
"450","02762",37,1994,0
"451","02763",9,1996,0
"452","02764",7,1992,3.6
"453","02766",49,2007,0
"454","02767",88,1994,0
"455","02769",3,1989,0
"456","02770",1,1970,1
"457","02771",15,1993,0
"458","02777",66,1996,0
"459","02779",1,2002,1
"460","02790",17,1995,0
"461","02806",49,1994,0
"462","02807",5,1985,0
"463","02809",59,1993,0
"464","02813",3,1992,0
"465","02814",3,2003,1
"466","02817",21,1993,5.4
"467","02818",210,1996,0
"468","02822",4,2000,1
"469","02825",3,1991,0
"470","02828",15,1991,0
"471","02830",1,2000,1
"472","02831",1,1994,1
"473","02835",2,2002,321
"474","02842",78,1993,0
"475","02852",81,1991,0
"476","02857",8,1992,0
"477","02858",1,1985,1
"478","02859",13,1997,14
"479","02861",9,1989,0
"480","02863",22,1988,0
"481","02870",1,1991,0
"482","02876",2,1987,1
"483","02878",33,1986,0
"484","02882",29,1993,0
"485","02885",12,1992,0
"486","02888",79,1997,0
"487","02889",2,2004,0
"488","02892",1,1991,0
"489","02893",32,1995,0
"490","02896",48,1993,0
"491","02898",5,1997,0
"492","02902",29,1991,147
"493","02906",423,1994,0
"494","02907",17,1995,0
"495","02909",13,1996,0
"496","02910",71,1992,0
"497","02911",25,2004,0
"498","02915",35,1992,0
"499","02916",6,1992,0
"500","02919",167,1996,0
"501","02920",257,1991,0
"502","02921",2,1998,0
"503","02940",2,2001,51
"504","02942",2,1989,0
"505","03031",76,1997,0
"506","03034",22,2009,11
"507","03038",165,1995,0
"508","03042",15,2001,0
"509","03045",9,1990,0
"510","03047",5,1990,5
"511","03049",1,2009,1
"512","03051",18,1995,0
"513","03052",1,1996,1
"514","03053",83,1994,0
"515","03054",30,2000,0
"516","03064",53,1997,0
"517","03070",2,2001,41
"518","03071",1,2013,2
"519","03076",8,1990,1.5
"520","03077",24,1998,0
"521","03086",4,1992,0
"522","03087",37,1995,0
"523","03101",239,1998,0
"524","03104",160,1994,0
"525","03106",41,1989,0
"526","03109",14,1994,0
"527","03216",3,1984,0
"528","03220",37,1990,0
"529","03222",4,2001,7
"530","03223",2,2002,1
"531","03229",11,1989,0
"532","03234",16,1996,191.6
"533","03235",27,1997,0
"534","03242",3,1986,0
"535","03244",5,1995,0
"536","03246",281,1994,0
"537","03247",2,1985,0
"538","03249",34,1991,0
"539","03251",2,1980,0
"540","03253",4,1994,0
"541","03255",2,1994,0
"542","03256",2,2004,1
"543","03257",82,1994,0
"544","03260",1,1976,0
"545","03261",3,1996,0
"546","03275",10,1996,0
"547","03276",13,1995,0
"548","03278",8,1988,0
"549","03290",1,1997,293
"550","03302",2,2006,1
"551","03303",8,2002,0
"552","03304",8,1997,0
"553","03443",2,1993,6.5
"554","03446",1,1995,0
"555","03449",1,2004,1
"556","03452",3,1990,0
"557","03458",123,1992,0
"558","03461",4,1990,0
"559","03470",6,1998,1025
"560","03493",2,1988,0
"561","03579",1,1987,3
"562","03580",5,2001,0
"563","03581",3,1992,8.7
"564","03583",4,2000,4
"565","03595",1,1998,0
"566","03603",10,1994,0
"567","03608",11,1995,0
"568","03743",129,1996,0
"569","03748",1,1979,1
"570","03755",30,1992,0
"571","03766",127,1994,0
"572","03768",3,1996,0
"573","03773",42,1998,0
"574","03781",1,1987,1
"575","03782",1,2003,0
"576","03784",9,1994,0
"577","03809",2,1998,0
"578","03811",3,1993,1
"579","03818",45,1994,0
"580","03819",1,1998,0
"581","03823",1,2005,1
"582","03824",14,1993,0
"583","03825",37,2002,0
"584","03826",3,1999,0
"585","03835",4,2013,42.5
"586","03838",7,1994,0
"587","03839",4,2004,2
"588","03840",4,1997,0
"589","03841",16,1992,0
"590","03842",21,1997,0
"591","03844",2,1992,0
"592","03845",1,1988,0
"593","03848",11,1996,0
"594","03857",12,1999,0
"595","03860",52,1993,0
"596","03861",5,1996,107.2
"597","03862",10,1991,0
"598","03864",2,1984,0
"599","03865",17,1995,0
"600","03870",8,1995,2.8
"601","03872",4,2004,53
"602","03874",10,2009,0
"603","03883",1,1990,1
"604","03884",1,1983,0
"605","03885",26,2002,33.4
"606","03886",3,1992,1.7
"607","03896",5,1995,0
"608","03901",3,2005,82.3
"609","03903",13,1999,0
"610","03904",35,1990,0
"611","03905",10,2001,101.6
"612","03906",2,2004,0
"613","03908",9,1999,0
"614","04002",3,1992,0
"615","04009",114,1995,0
"616","04014",1,2000,0
"617","04020",5,2002,0
"618","04021",3,1986,0
"619","04024",1,1975,0
"620","04029",1,1966,0
"621","04030",1,1989,1
"622","04032",40,1992,0
"623","04037",9,1989,0
"624","04038",80,1998,0
"625","04039",13,1995,0
"626","04041",1,1979,0
"627","04042",1,1996,0
"628","04043",64,1994,0
"629","04046",1,1997,1
"630","04048",2,1995,2
"631","04051",1,1996,0
"632","04054",1,1995,123
"633","04055",4,1977,0
"634","04062",41,1994,0
"635","04068",3,1994,3
"636","04071",1,1985,1
"637","04072",86,1996,0
"638","04073",69,1995,0
"639","04077",1,1989,1
"640","04079",2,1999,0
"641","04083",51,1996,0
"642","04084",5,2002,0
"643","04085",2,1991,0
"644","04086",71,1996,0
"645","04087",4,2000,4
"646","04088",1,1988,0
"647","04090",11,1992,0
"648","04093",1,1985,1
"649","04096",39,1993,0
"650","04097",1,2007,1
"651","04107",26,2004,0
"652","04210",216,1996,0
"653","04224",2,1992,2
"654","04236",1,1981,0
"655","04239",1,1974,1
"656","04243",1,2009,231
"657","04250",1,1995,1
"658","04252",5,1998,0
"659","04254",16,1993,0
"660","04256",1,1962,0
"661","04257",1,1993,0
"662","04259",1,2013,0
"663","04260",2,1980,0
"664","04263",8,1999,8
"665","04270",31,2000,32
"666","04274",2,1978,0
"667","04276",41,1995,14.3
"668","04282",3,1995,1
"669","04294",4,1987,0
"670","04341",12,1992,27
"671","04344",3,2001,3.7
"672","04351",8,1996,0
"673","04355",2,1994,2
"674","04357",17,2000,12.4
"675","04358",1,2005,0
"676","04364",10,1992,0
"677","04412",575,1996,0
"678","04416",10,1986,0
"679","04421",1,1991,0
"680","04424",1,1972,1
"681","04426",75,1996,0
"682","04427",6,2014,12
"683","04429",4,1994,0
"684","04441",6,1992,16
"685","04444",12,1996,0
"686","04457",19,1997,0
"687","04468",6,1998,29.7
"688","04469",268,1996,489
"689","04473",277,1996,0
"690","04479",14,1993,16
"691","04493",9,2000,11
"692","04496",6,2001,58
"693","04530",102,1990,0
"694","04535",2,1990,0
"695","04538",4,1996,2
"696","04553",8,1990,0
"697","04555",1,1999,0
"698","04556",1,1984,1
"699","04562",1,1995,0
"700","04572",5,1992,16.8
"701","04578",9,1995,0
"702","04607",2,1999,77
"703","04614",151,1997,0
"704","04619",33,1993,0
"705","04630",1,1981,0
"706","04631",4,1987,4
"707","04649",2,1982,2
"708","04652",2,1991,2
"709","04653",1,1982,0
"710","04658",2,1993,0
"711","04666",1,1998,0
"712","04668",4,1993,4
"713","04676",1,1990,0
"714","04684",1,2008,1
"715","04691",4,1984,2
"716","04693",1,1966,0
"717","04694",2,1986,1
"718","04739",2,1998,2
"719","04740",1,2009,1
"720","04743",125,2000,31.7
