"","ZIPCODE","total_income"
"353",36116,746296
"354",36117,1529799
"355",36201,189444
"356",36203,401707
"357",36205,14996
"358",36206,177284
"359",36207,471673
"360",36250,99514
"361",36251,81698
"362",36255,14649
"363",36256,24209
"364",36258,24990
"365",36260,63304
"366",36262,18877
"367",36263,11804
"368",36264,150311
"369",36265,349302
"370",36266,83967
"371",36268,96223
"372",36269,17803
"373",36271,109547
"374",36272,179604
"375",36273,48661
"376",36274,157307
"377",36276,30996
"378",36277,94871
"379",36278,91059
"380",36279,45119
"381",36280,59260
"382",36301,620862
"383",36303,688749
"384",36305,515503
"385",36310,102931
"386",36311,45379
"387",36312,112198
"388",36314,9788
"389",36316,37744
"390",36317,6831
"391",36318,21434
"392",36319,42958
"393",36320,51714
"394",36321,29644
"395",36322,145881
"396",36323,127321
"397",36330,794198
"398",36340,83868
"399",36343,21543
"400",36344,86671
"401",36345,171039
"402",36346,23599
"403",36350,126408
"404",36351,69986
"405",36352,105494
"406",36353,34888
"407",36360,338980
"408",36362,61703
"409",36370,14254
"410",36373,7588
"411",36374,22446
"412",36375,111554
"413",36376,35423
"414",36401,120695
"415",36420,219129
"416",36421,181339
"417",36425,11727
"418",36426,248717
"419",36432,36370
"420",36435,7498
"421",36436,7440
"422",36441,61873
"423",36442,42276
"424",36444,9809
"425",36445,59687
"426",36451,98906
"427",36453,39323
"428",36456,27118
"429",36460,160521
"430",36467,161649
"431",36471,14228
"432",36474,50369
"433",36475,28585
"434",36477,73915
"435",36480,34072
"436",36481,3411
"437",36482,11661
"438",36483,6763
"439",36502,242724
"440",36505,28663
"441",36507,356376
"442",36509,31972
"443",36511,15307
"444",36518,63624
"445",36521,94694
"446",36522,117015
"447",36523,49692
"448",36524,15903
"449",36525,40117
"450",36526,940114
"451",36527,491502
"452",36528,47568
"453",36529,11619
"454",36530,145342
"455",36532,952771
"456",36535,472521
"457",36538,5067
"458",36539,13817
"459",36540,11524
"460",36541,278262
"461",36542,333097
"462",36544,182502
"463",36545,172277
"464",36548,26445
"465",36549,102899
"466",36551,166382
"467",36553,49009
"468",36555,45333
"469",36558,65691
"470",36560,44437
"471",36561,277245
"472",36562,29787
"473",36567,230122
"474",36569,15480
"475",36571,350127
"476",36572,165533
"477",36574,26091
"478",36575,394581
"479",36576,81368
"480",36578,41400
"481",36579,34465
"482",36580,99139
"483",36582,459963
"484",36583,13693
"485",36584,12968
"486",36585,19261
"487",36587,183935
"488",36602,29646
"489",36603,69812
"490",36604,204539
"491",36605,373067
"492",36606,323385
"493",36607,151713
"494",36608,1128284
"495",36609,476973
"496",36610,101137
"497",36611,78880
"498",36612,43680
"499",36613,175267
"500",36617,141424
"501",36618,292145
"502",36619,343456
"503",36693,504756
"504",36695,1335420
"505",36701,378195
"506",36703,136383
"507",36720,7939
"508",36722,5281
"509",36726,77516
"510",36728,8234
"511",36732,164387
"512",36736,18883
"513",36738,12229
"514",36740,16721
"515",36742,45097
"516",36744,96287
"517",36748,57347
"518",36749,14298
"519",36750,51531
"520",36751,10911
"521",36752,37437
"522",36754,4526
"523",36756,78582
"524",36758,20914
"525",36759,20779
"526",36761,14749
"527",36765,15398
"528",36767,22076
"529",36768,11261
"530",36769,39551
"531",36773,6103
"532",36775,11650
"533",36776,19101
"534",36782,41651
"535",36783,15133
"536",36784,159603
"537",36785,18856
"538",36786,33346
"539",36790,5521
"540",36792,20508
"541",36793,8693
"542",36801,438884
"543",36804,319836
"544",36830,1115528
"545",36832,294164
"546",36850,32880
"547",36852,35102
"548",36853,184964
"549",36854,257094
"550",36855,21196
"551",36856,119029
"552",36858,6850
"553",36860,20713
"554",36861,69498
"555",36862,83960
"556",36863,177481
"557",36866,60574
"558",36867,360137
"559",36869,292145
"560",36870,319717
"561",36871,21438
"562",36874,166232
"563",36875,81821
"564",36877,236496
"565",36879,53629
"566",36904,81802
"567",36907,23798
"568",36908,50880
"569",36912,22917
"570",36915,9898
"571",36916,10581
"572",36919,33108
"573",36921,21096
"574",36922,7692
"575",36925,35578
"576",99999,2639824
"577",0,23381582
"578",99501,599313
"579",99502,956538
"580",99503,493725
"581",99504,1098155
"582",99505,91099
"583",99506,105845
"584",99507,1444078
"585",99508,858223
"586",99515,954642
"587",99516,1357716
"588",99517,627742
"589",99518,332795
"590",99540,10101
"591",99556,54955
"592",99567,326357
"593",99568,6198
"594",99572,16456
"595",99573,20090
"596",99577,1081414
"597",99586,10541
"598",99588,35413
"599",99603,328597
"600",99605,4444
"601",99610,70493
"602",99611,435727
"603",99615,387041
"604",99631,7088
"605",99639,35697
"606",99645,868378
"607",99654,885081
"608",99664,139947
"609",99669,566548
"610",99672,105732
"611",99674,34960
"612",99676,45391
"613",99686,154061
"614",99688,70184
"615",99701,433792
"616",99702,47308
"617",99703,117346
"618",99705,557824
"619",99709,758001
"620",99712,334792
"621",99714,28266
"622",99737,106529
"623",99743,37387
"624",99760,17621
"625",99780,39815
"626",99801,806731
"627",99824,83321
"628",99827,70152
"629",99835,290537
"630",99901,403612
"631",99999,4627783
"632",0,160378706
"633",85003,239960
"634",85004,188862
"635",85006,306716
"636",85007,229250
"637",85008,707277
"638",85009,416062
"639",85012,333117
"640",85013,638231
"641",85014,652001
"642",85015,495277
"643",85016,1452362
"644",85017,379659
"645",85018,1935651
"646",85019,281767
"647",85020,1008065
"648",85021,891327
"649",85022,1264372
"650",85023,819156
"651",85024,710272
"652",85027,787918
"653",85028,978338
"654",85029,723737
"655",85031,301310
"656",85032,1452036
"657",85033,556667
"658",85034,65615
"659",85035,480761
"660",85037,655925
"661",85040,329845
"662",85041,804924
"663",85042,745872
"664",85043,441132
"665",85044,1467678
"666",85045,357795
"667",85048,1582149
"668",85050,1177940
"669",85051,570979
"670",85053,549564
"671",85054,244524
"672",85083,730842
"673",85085,780640
"674",85086,1328757
"675",85087,247939
"676",85118,403069
"677",85119,376096
"678",85120,355966
"679",85122,800318
"680",85128,190654
"681",85131,140564
"682",85132,295651
"683",85137,39384
"684",85138,682521
"685",85139,316020
"686",85140,651566
"687",85142,1369333
